"code","n","class","description","color","llid","total_n","lake_buffer_area","stream_buffer_area","stream_length","total_area","percent_lake","percent_stream"
"21",19,"developed","Developed, Open Space","#DDC9C9",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,2.60631001371742,4.41176470588235
"22",22,"developed","Developed, Low Intensity","#D89382",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,3.01783264746228,2.63253449527959
"23",8,"developed","Developed, Medium Intensity","#ED0000",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,1.09739368998628,0.4720406681191
"24",1,"developed","Developed, High Intensity","#AA0000",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,0.137174211248285,0.0907770515613653
"41",420,"forest","Deciduous Forest","#68AA63",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,57.6131687242798,34.8129992737836
"42",19,"forest","Evergreen Forest","#1C6330",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,2.60631001371742,0.435729847494553
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,0.823045267489712,2.98656499636892
"81",75,"planted","Pasture/Hay","#DBD83D",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,10.2880658436214,24.0559186637618
"82",159,"planted","Cultivated Crops","#AA7028",2316,729,787775.849555887,13037351.0194781,58297.1656908557,729000,21.8106995884774,24.537037037037
"21",492,"developed","Developed, Open Space","#DDC9C9",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,51.356993736952,10.8571428571429
"22",224,"developed","Developed, Low Intensity","#D89382",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,23.3820459290188,1.85714285714286
"23",35,"developed","Developed, Medium Intensity","#ED0000",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,3.65344467640919,0.321428571428571
"41",144,"forest","Deciduous Forest","#68AA63",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,15.0313152400835,32.2142857142857
"42",28,"forest","Evergreen Forest","#1C6330",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,2.92275574112735,0.178571428571429
"71",26,"herbaceous","Grassland/Herbaceous","#E2E2C1",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,2.71398747390397,0.928571428571429
"81",2,"planted","Pasture/Hay","#DBD83D",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,0.208768267223382,26.7142857142857
"82",5,"planted","Cultivated Crops","#AA7028",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,0.521920668058455,26.5714285714286
"95",2,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",2745,958,1005229.77512298,2570982.99754521,12407.673794649,958000,0.208768267223382,NA
"21",1134,"developed","Developed, Open Space","#DDC9C9",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,11.5396356975679,8.94250435573063
"22",460,"developed","Developed, Low Intensity","#D89382",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,4.68098097079475,2.69771229452314
"23",68,"developed","Developed, Medium Intensity","#ED0000",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,0.691971100030528,0.595598818271343
"24",28,"developed","Developed, High Intensity","#AA0000",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,0.284929276483159,0.172335429134157
"31",24,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,0.244225094128422,0.0606014695856374
"41",5527,"forest","Deciduous Forest","#68AA63",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,56.2430039686578,41.0840087872131
"42",71,"forest","Evergreen Forest","#1C6330",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,0.722499236796581,0.456404817816832
"52",10,"shrubland","Scrub/Shrub","#CCBA7C",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,0.101760455886842,0.146769184152716
"71",299,"herbaceous","Grassland/Herbaceous","#E2E2C1",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,3.04263763101659,2.15513976213923
"81",585,"planted","Pasture/Hay","#DBD83D",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,5.95298666938028,19.0279145519279
"82",346,"planted","Cultivated Crops","#AA7028",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,3.52091177368475,19.828990228013
"90",1198,"wetlands","Woody Wetlands","#BAD8EA",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,12.1909026152437,4.59908340277252
"95",77,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",2057,9827,9425456.30233574,122229381.100636,555540.800123609,9827000,0.783555510328686,0.207370653738353
"21",1098,"developed","Developed, Open Space","#DDC9C9",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,24.7855530474041,5.71899771240092
"22",1369,"developed","Developed, Low Intensity","#D89382",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,30.9029345372461,2.16523913390435
"23",447,"developed","Developed, Medium Intensity","#ED0000",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,10.0902934537246,0.553279778688089
"24",53,"developed","Developed, High Intensity","#AA0000",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,1.19638826185102,0.0797999680800128
"31",1,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,0.0225733634311512,NA
"41",927,"forest","Deciduous Forest","#68AA63",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,20.9255079006772,23.6580305367878
"42",8,"forest","Evergreen Forest","#1C6330",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,0.18058690744921,0.148959940416024
"52",2,"shrubland","Scrub/Shrub","#CCBA7C",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,0.0451467268623025,0.281959887216045
"71",70,"herbaceous","Grassland/Herbaceous","#E2E2C1",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,1.58013544018059,0.388359844656062
"81",4,"planted","Pasture/Hay","#DBD83D",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,0.090293453724605,10.1079959568016
"82",313,"planted","Cultivated Crops","#AA7028",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,7.06546275395034,56.5622173751131
"90",130,"wetlands","Woody Wetlands","#BAD8EA",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,2.93453724604966,0.335159865936054
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",984,4430,4338452.70761334,20103674.7272245,93690.9973156321,4430000,0.18058690744921,NA
"21",37,"developed","Developed, Open Space","#DDC9C9",2167,237,227429.993879604,0,0,237000,15.6118143459916,NA
"22",10,"developed","Developed, Low Intensity","#D89382",2167,237,227429.993879604,0,0,237000,4.21940928270042,NA
"41",112,"forest","Deciduous Forest","#68AA63",2167,237,227429.993879604,0,0,237000,47.2573839662447,NA
"42",22,"forest","Evergreen Forest","#1C6330",2167,237,227429.993879604,0,0,237000,9.28270042194093,NA
"81",10,"planted","Pasture/Hay","#DBD83D",2167,237,227429.993879604,0,0,237000,4.21940928270042,NA
"82",41,"planted","Cultivated Crops","#AA7028",2167,237,227429.993879604,0,0,237000,17.2995780590717,NA
"90",5,"wetlands","Woody Wetlands","#BAD8EA",2167,237,227429.993879604,0,0,237000,2.10970464135021,NA
"21",114,"developed","Developed, Open Space","#DDC9C9",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,6.91747572815534,7.65144835594934
"22",8,"developed","Developed, Low Intensity","#D89382",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,0.485436893203883,1.82146620502785
"23",1,"developed","Developed, Medium Intensity","#ED0000",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,0.0606796116504854,0.399991398034451
"41",1149,"forest","Deciduous Forest","#68AA63",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,69.7208737864078,49.6580718694222
"42",89,"forest","Evergreen Forest","#1C6330",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,5.4004854368932,1.20427517687792
"71",43,"herbaceous","Grassland/Herbaceous","#E2E2C1",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,2.60922330097087,0.90535687404572
"81",128,"planted","Pasture/Hay","#DBD83D",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,7.76699029126214,12.2728543472183
"82",65,"planted","Cultivated Crops","#AA7028",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,3.94417475728155,25.2446183953033
"90",48,"wetlands","Woody Wetlands","#BAD8EA",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,2.9126213592233,0.629018730779983
"95",3,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",3866,1648,1743601.79394473,109817418.91464,499277.796802036,1648000,0.182038834951456,0.017203931098256
"21",220,"developed","Developed, Open Space","#DDC9C9",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,7.11283543485289,6.9553264604811
"22",55,"developed","Developed, Low Intensity","#D89382",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,1.77820885871322,2.13592974417717
"23",10,"developed","Developed, Medium Intensity","#ED0000",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,0.323310701584222,0.61601120020364
"41",2626,"forest","Deciduous Forest","#68AA63",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,84.9013902360168,39.7815960290187
"42",3,"forest","Evergreen Forest","#1C6330",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,0.0969932104752667,0.422807687412498
"71",43,"herbaceous","Grassland/Herbaceous","#E2E2C1",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,1.39023601681216,1.0128547791778
"81",84,"planted","Pasture/Hay","#DBD83D",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,2.71580989330747,15.562682957872
"82",19,"planted","Cultivated Crops","#AA7028",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,0.614290333010023,32.2290950744559
"90",26,"wetlands","Woody Wetlands","#BAD8EA",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,0.840607824118978,0.731322387679776
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",4031,3093,3155241.20172126,470450213.668055,2180482.59554121,3093000,0.226317491108956,0.0274914089347079
"21",94,"developed","Developed, Open Space","#DDC9C9",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,7.73026315789474,5.69365260357279
"22",20,"developed","Developed, Low Intensity","#D89382",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,1.64473684210526,0.570125427594071
"23",12,"developed","Developed, Medium Intensity","#ED0000",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,0.986842105263158,0.0684150513112885
"41",824,"forest","Deciduous Forest","#68AA63",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,67.7631578947368,33.7742303306728
"42",18,"forest","Evergreen Forest","#1C6330",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,1.48026315789474,0.380083618396047
"52",6,"shrubland","Scrub/Shrub","#CCBA7C",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,0.493421052631579,0.0912200684150513
"81",52,"planted","Pasture/Hay","#DBD83D",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,4.27631578947368,17.9475484606613
"82",149,"planted","Cultivated Crops","#AA7028",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,12.2532894736842,39.7187381223869
"90",33,"wetlands","Woody Wetlands","#BAD8EA",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,2.71381578947368,1.36069935385785
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",1500,1216,1589070.11663746,15898278.5031881,73212.3345438176,1216000,0.657894736842105,0.0684150513112885
"21",207,"developed","Developed, Open Space","#DDC9C9",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,5.24980978950038,3.13318062827225
"22",64,"developed","Developed, Low Intensity","#D89382",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,1.62312959675374,1.09620418848168
"23",35,"developed","Developed, Medium Intensity","#ED0000",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,0.887648998224702,0.229057591623037
"24",13,"developed","Developed, High Intensity","#AA0000",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,0.329698199340604,0.106348167539267
"31",19,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,0.481866599036267,0.0449934554973822
"41",3165,"forest","Deciduous Forest","#68AA63",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,80.2688308394623,53.4808573298429
"42",19,"forest","Evergreen Forest","#1C6330",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,0.481866599036267,0.331315445026178
"43",21,"forest","Mixed Forest","#B5C98E",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,0.532589398934821,0.0163612565445026
"52",40,"shrubland","Scrub/Shrub","#CCBA7C",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,1.01445599797109,0.327225130890052
"71",54,"herbaceous","Grassland/Herbaceous","#E2E2C1",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,1.36951559726097,2.59734947643979
"81",241,"planted","Pasture/Hay","#DBD83D",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,6.1120973877758,15.982902486911
"82",1,"planted","Cultivated Crops","#AA7028",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,0.0253613999492772,22.5805791884817
"90",3,"wetlands","Woody Wetlands","#BAD8EA",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,0.0760841998478316,NA
"95",61,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",3423,3943,4373495.47842813,54142352.8763748,249635.342234749,3943000,1.54704539690591,0.0736256544502618
"21",22,"developed","Developed, Open Space","#DDC9C9",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,0.84713130535233,5.60172563587885
"22",13,"developed","Developed, Low Intensity","#D89382",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,0.500577589526377,2.27088888223134
"41",2420,"forest","Deciduous Forest","#68AA63",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,93.1844435887563,26.1373917732706
"42",7,"forest","Evergreen Forest","#1C6330",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,0.269541778975741,0.128823511788849
"52",29,"shrubland","Scrub/Shrub","#CCBA7C",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,1.11667308432807,0.124030078792055
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,0.231035810550635,0.294196950178256
"81",18,"planted","Pasture/Hay","#DBD83D",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,0.693107431651906,5.32011144731718
"82",82,"planted","Cultivated Crops","#AA7028",3386,2597,3815567.5787388,186760638.760087,877568.697892576,2597000,3.15748941085868,58.0047335150843
"21",110,"developed","Developed, Open Space","#DDC9C9",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,5.22813688212928,3.50061957868649
"22",59,"developed","Developed, Low Intensity","#D89382",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,2.8041825095057,1.82345449538758
"23",20,"developed","Developed, Medium Intensity","#ED0000",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,0.950570342205323,0.290857772270412
"24",15,"developed","Developed, High Intensity","#AA0000",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,0.712927756653992,0.0585157648354674
"41",1477,"forest","Deciduous Forest","#68AA63",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,70.1996197718631,11.2100715957593
"43",76,"forest","Mixed Forest","#B5C98E",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,3.61216730038023,0.129939418972876
"71",167,"herbaceous","Grassland/Herbaceous","#E2E2C1",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,7.93726235741445,2.31137271100096
"81",43,"planted","Pasture/Hay","#DBD83D",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,2.04372623574144,14.5273991463583
"82",137,"planted","Cultivated Crops","#AA7028",2861,2104,2222723.25767748,133940406.43454,620615.378366003,2104000,6.51140684410646,65.6951328652072
"21",970,"developed","Developed, Open Space","#DDC9C9",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,18.4761904761905,6.63823237020171
"22",440,"developed","Developed, Low Intensity","#D89382",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,8.38095238095238,0.951373077210873
"23",171,"developed","Developed, Medium Intensity","#ED0000",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,3.25714285714286,0.141102523811051
"24",25,"developed","Developed, High Intensity","#AA0000",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,0.476190476190476,0.0320687554116025
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,0.0761904761904762,0.0235170873018418
"41",3140,"forest","Deciduous Forest","#68AA63",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,59.8095238095238,43.4071983666314
"42",20,"forest","Evergreen Forest","#1C6330",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,0.380952380952381,0.175309196250094
"71",71,"herbaceous","Grassland/Herbaceous","#E2E2C1",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,1.35238095238095,0.454307368331035
"81",233,"planted","Pasture/Hay","#DBD83D",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,4.43809523809524,11.3705117104405
"82",128,"planted","Cultivated Crops","#AA7028",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,2.43809523809524,35.0308394531208
"90",38,"wetlands","Woody Wetlands","#BAD8EA",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,0.723809523809524,1.47302483190627
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",3007,5250,5585109.99745343,105751590.654325,501615.71039718,5250000,0.19047619047619,0.00106895851372008
"21",338,"developed","Developed, Open Space","#DDC9C9",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,4.10742496050553,4.52528659479211
"22",107,"developed","Developed, Low Intensity","#D89382",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,1.30027949933163,1.34714609809472
"23",134,"developed","Developed, Medium Intensity","#ED0000",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,1.62838741037793,0.212812945451625
