"code","description","category","is_ag","is_natural","is_small_grain","is_nfixer","is_forage"
1,"Corn","corn","ag","nonnatural",NA,NA,NA
2,"Cotton","other ag","ag","nonnatural",NA,NA,NA
3,"Rice","other ag","ag","nonnatural",NA,NA,NA
4,"Sorghum","sorghum","ag","nonnatural","smallgrain",NA,NA
5,"Soybeans","soybeans","ag","nonnatural",NA,"nfixer",NA
6,"Sunflower","other ag","ag","nonnatural",NA,NA,NA
10,"Peanuts","other ag","ag","nonnatural",NA,NA,NA
11,"Tobacco","other ag","ag","nonnatural",NA,NA,NA
12,"Sweet Corn","corn","ag","nonnatural",NA,NA,NA
13,"Pop or Orn Corn","corn","ag","nonnatural",NA,NA,NA
14,"Mint","other ag","ag","nonnatural",NA,NA,NA
21,"Barley","other ag","ag","nonnatural","smallgrain",NA,NA
22,"Durum Wheat","wheat","ag","nonnatural","smallgrain",NA,NA
23,"Spring Wheat","wheat","ag","nonnatural","smallgrain",NA,NA
24,"Winter Wheat","wheat","ag","nonnatural","smallgrain",NA,NA
25,"Other Small Grains","other ag","ag","nonnatural",NA,NA,NA
26,"Dbl Crop WinWht/Soybeans","other ag","ag","nonnatural",NA,"nfixer",NA
28,"Oats","other ag","ag","nonnatural",NA,NA,NA
29,"Millet","other ag","ag","nonnatural",NA,NA,NA
30,"Speltz","other ag","ag","nonnatural",NA,NA,NA
31,"Canola","other ag","ag","nonnatural",NA,NA,NA
32,"Flaxseed","other ag","ag","nonnatural",NA,NA,NA
33,"Safflower","other ag","ag","nonnatural",NA,NA,NA
34,"Rape Seed","other ag","ag","nonnatural",NA,NA,NA
35,"Mustard","other ag","ag","nonnatural",NA,NA,NA
36,"Alfalfa","forage","ag","nonnatural",NA,"nfixer","forage"
37,"Other Hay/Non Alfalfa","other ag","ag","nonnatural",NA,NA,NA
38,"Camelina","other ag","ag","nonnatural",NA,NA,NA
39,"Buckwheat","wheat","ag","nonnatural","smallgrain",NA,NA
41,"Sugarbeets","other ag","ag","nonnatural",NA,NA,NA
42,"Dry Beans","other ag","ag","nonnatural",NA,NA,NA
43,"Potatoes","other ag","ag","nonnatural",NA,NA,NA
44,"Other Crops","other ag","ag","nonnatural",NA,NA,NA
45,"Sugarcane","other ag","ag","nonnatural",NA,NA,NA
46,"Sweet Potatoes","other ag","ag","nonnatural",NA,NA,NA
47,"Misc Vegs & Fruits","other ag","ag","nonnatural",NA,NA,NA
48,"Watermelons","other ag","ag","nonnatural",NA,NA,NA
49,"Onions","other ag","ag","nonnatural",NA,NA,NA
50,"Cucumbers","other ag","ag","nonnatural",NA,NA,NA
51,"Chick Peas","other ag","ag","nonnatural",NA,NA,NA
52,"Lentils","other ag","ag","nonnatural",NA,NA,NA
53,"Peas","other ag","ag","nonnatural",NA,NA,NA
54,"Tomatoes","other ag","ag","nonnatural",NA,NA,NA
55,"Caneberries","other ag","ag","nonnatural",NA,NA,NA
56,"Hops","other ag","ag","nonnatural",NA,NA,NA
57,"Herbs","other ag","ag","nonnatural",NA,NA,NA
58,"Clover/Wildflowers","forage","ag","nonnatural",NA,NA,"forage"
59,"Sod/Grass Seed","other ag","ag","nonnatural",NA,NA,NA
60,"Switchgrass","other ag","ag","nonnatural",NA,NA,NA
61,"Fallow/Idle Cropland","other ag","ag","nonnatural",NA,NA,NA
62,"Pasture/Grass","other ag","ag","nonnatural",NA,NA,NA
66,"Cherries","other ag","ag","nonnatural",NA,NA,NA
67,"Peaches","other ag","ag","nonnatural",NA,NA,NA
68,"Apples","other ag","ag","nonnatural",NA,NA,NA
69,"Grapes","other ag","ag","nonnatural",NA,NA,NA
70,"Christmas Trees","other ag","ag","nonnatural",NA,NA,NA
