"lagoslakeid","nhd_long","nhd_lat","tp","tn","no2no3","chla","iws_ha","hu4_zoneid","hu12_zoneid","lake_area_ha","maxdepth","iwsla_ratio","hu12_ppt_mean","hu12_ppt_std","hu12_baseflow_mean","hu4_nitrogen_atmospheric_deposition","hu4_clay_pct","row_crop_pct","pasture_pct","ag_pct","nitrogen_fertilizer_use","phosphorus_fertilizer_use","nitrogen_livestock_manure","phosphorus_livestock_manure","nitrogen_atmospheric_deposition","n_input","p_input","wetland_potential","soil_org_carbon","clay_pct","ag","corn","developed","forage","forest","natural","nfixer","nonag","nonnatural","other.ag","other.non.ag","pasture","smallgrain","sorghum","soybeans","water","wetlands","wheat","lake_ag","lake_forest","lake_developed","lake_natural","lake_cultivated_crops","stream_ag","stream_forest","stream_developed","stream_natural","stream_cultivated_crops","buffer_ag","buffer_forest","buffer_developed","buffer_natural","buffer_cultivated_crops"
7086,-79.052836,40.16161,29.5,558.5,69,10,2476.796991,"HU4_22","HU12_8935",17.22441226,1.5,143.79573326585,1157.3682,56.0901,39.6932,3.7595,0,5.48,24.61,30.09,18.6096681250739,5.02962981904729,28.13993753859,6.99439478083544,3.86368674303522,50.6132924066992,12.0240245998827,7.69659323967001,1959.59430310997,5.23048660277449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2553,-81.129757,41.142929,14.7,441,72,6.219758,19481.43322,"HU4_47","HU12_7580",1054.110793,12.8,18.4813905230548,990.5192,8.0659,37.7551,3.5112,6.1594,16.2,18.11,34.31,105.34378817985,19.7048524542874,27.2399990950949,7.84996519284649,5.67254457824295,138.256331853187,27.5548176471339,13.4980718840864,4249.63957459378,17.0366185063561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2057,-81.04182,41.003327,37.1,928,9,17.133113,46810.62741,"HU4_47","HU12_7576",1453.356026,18,32.2086443875934,981.4872,3.0233,33.3378,3.5112,6.1594,28.75,20.6,49.35,100.788600305611,18.8527917251803,26.062109864831,7.51052357148957,5.79178746092393,132.642497631366,26.3633152966698,16.8842762931079,4372.55593710588,16.4177579281366,48.8182413193182,9.12532142903761,14.4505544709171,2.58728231865249,33.0912942378659,36.7312042097647,10.7192738081253,51.1817586806818,63.2687957902353,0.536662955897792,0.0356159223684775,25.9656856437998,2.48099396394028,0.000559412393222159,8.12229500799027,3.16739297042387,0.436901079106507,2.48043455154705,9.47389844306503,56.9655032054544,17.1975170448763,73.3285845120586,3.52091177368475,38.8569047799409,41.5659798500114,12.4081508976593,48.7349443223998,19.828990228013,38.8569047799409,41.5659798500114,12.4081508976593,48.7349443223998,19.828990228013
3855,-80.981613,41.095805,37.2,800,NA,28.8208275,5802.294194,"HU4_47","HU12_7582",669.9656028,10.88,8.66058521474888,978.8543,4.3311,36.4598,3.5112,6.1594,17.54,15.09,32.63,124.297495797007,23.2501968785847,32.141085217597,9.262349801762,6.55908274141516,162.997663756019,32.5125466803468,22.0343424449862,4152.27794738696,19.786014385143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,-82.476027,39.920914,261.8,2503,NA,155.5401875,10488.07568,"HU4_44","HU12_19323",1115.759661,4.72,9.39994162416668,1022.7005,2.6073,33.9552,3.6679,1.7264,55.22,12.02,67.24,75.6932626587704,14.1586380957581,19.5729092522238,5.6404794954772,5.52715037686326,100.793322287857,19.7991175912353,26.5750352860458,3895.79236208698,14.5559747057258,57.8816199376947,11.2461059190031,12.1806853582555,0.0934579439252337,24.4548286604361,29.9376947040498,25.8566978193146,42.1183800623053,70.0623052959502,4.33021806853583,NA,20.1869158878505,0.560747663551402,NA,21.4641744548287,5.48286604361371,NA,0.560747663551402,7.15575620767495,21.1060948081264,66.9751693002258,25.8690744920993,7.06546275395034,66.6702133319147,23.8069904772038,8.51731659307337,24.812470075012,56.5622173751131,66.6702133319147,23.8069904772038,8.51731659307337,24.812470075012,56.5622173751131
2297,-81.167835,40.482544,19.3,358,5,10.1,12088.34949,"HU4_44","HU12_7677",398.0313412,12.8,30.3703458465245,1021.7512,5.2305,38.5942,3.6679,1.7264,11.1,17.03,28.13,129.837295310629,24.2864319896279,33.5735772168445,9.67516230934939,7.19865218653047,170.609524714004,33.9615942989773,0.610081949805207,2306.30853594004,13.6214810690221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3866,-82.347333,40.637415,70.8,997.442,336,38.76341955,42212.37872,"HU4_44","HU12_7748",315.3324436,12.07,133.866272173207,1038.6095,4.8414,40.2911,3.6679,1.7264,26.89,14.58,41.47,68.5300013993481,12.8187298899943,17.7206193963525,5.10669053150213,5.96733932317356,92.2179601188741,17.9254204214964,3.42154873873098,3318.38120044272,12.0374673228224,41.7126434592325,7.67965868183636,8.98965336990314,2.03292552077051,48.3091756768482,49.2977031708644,11.5573699369975,58.2873565407675,50.7022968291356,0.885251660772749,0.0076187090097583,20.2507401787434,1.52628137162158,0.000423261611653239,9.33778604548793,0.968210936656783,0.0126978483495972,1.52585811000993,11.7111650485437,75.121359223301,7.46359223300971,80.8252427184466,3.94417475728155,37.5174727425216,50.8892281886411,9.98150577406938,52.501021483409,25.2446183953033,37.5174727425216,50.8892281886411,9.98150577406938,52.501021483409,25.2446183953033
543,-81.242172,40.544302,36,456,5,32.3,17450.50223,"HU4_44","HU12_7681",613.0539251,10.09,28.4648731792289,1020.1052,2.866,38.1649,3.6679,1.7264,8.86,20.67,29.53,128.253071528619,23.9900984666129,33.1639255882672,9.55710977145103,7.0900136182796,168.507010735165,33.5472082380639,1.14657873939055,2296.77840123818,14.2033360859665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2246,-81.389912,39.908613,48.2,491,NA,22.967942,28781.96948,"HU4_44","HU12_7837",1406.577892,6.58,20.4624071256197,1018.9677,4.9074,32.4262,3.6679,1.7264,7.3,11.43,18.73,229.940913729908,43.0110959225839,59.4585631497738,17.1346426816305,6.59698707579867,295.99646395548,60.1457386042144,0.653187781671039,2274.29219866576,19.8800673453239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,-81.177694,40.340521,36.55,664,11,33.84,17564.66801,"HU4_44","HU12_7712",864.6808439,4.76,20.3134695696246,1035.899,2.206,38.5974,3.6679,1.7264,4.6,12.68,17.28,176.493180669246,33.0135468295283,45.637945670918,13.151846435055,6.9923045630376,229.123430903201,46.1653932645833,1.65462245305633,1960.89380055362,14.2669266851522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
