"pretty","5%","50%","95%","signif","category","sd"
"Ag",0.252269946720145,0.442002105920022,0.623801829806089,TRUE,"LULC",0.11
"",NA,NA,NA,NA,"LULC",NA
"Max depth",-0.207564858850384,-0.141485856168559,-0.0639818434786575,TRUE,"Lake",0.04
"Watershed-lake ratio",0.0367847878479513,0.101684935971085,0.165903637468786,TRUE,"Lake",0.04
"Buffer Ag",0.0677180034775243,0.163254852720689,0.257836503597215,TRUE,"Buffer",0.06
"Buffer natural",-0.095010100574527,-0.0112290560800377,0.0522478894307301,FALSE,"Buffer",0.04
"Baseflow",-0.437462731249524,-0.276146827799944,-0.102154968642307,TRUE,"Nutrient transport",0.1
"Clay",-0.370084567574568,-0.23732150289291,-0.0967311734804441,TRUE,"Nutrient transport",0.08
"Precipitation",-0.375231201089062,-0.240343394159307,-0.0756291379055387,TRUE,"Nutrient transport",0.09
"Soil organic carbon",-0.0239952937637514,0.0635164092215641,0.187483551766358,FALSE,"Nutrient transport",0.07
"Wetland potential",-0.00386420844491991,0.0715648315075749,0.158892619893467,FALSE,"Nutrient transport",0.05
"Fertilizer N",-0.108775730936035,0.303288318575804,0.914252050678514,FALSE,"Nutrient inputs",0.34
"Fertilizer P",-0.206866714475119,0.159302889359411,0.944152395777317,FALSE,"Nutrient inputs",0.38
"Manure N",-0.73994128230104,-0.0705063192407046,0.224706767303826,FALSE,"Nutrient inputs",0.3
"Manure P",-0.9516810737688,-0.238104801063367,0.108487708625465,FALSE,"Nutrient inputs",0.35
"N Deposition",-0.105920888216012,-0.00571558476794432,0.0885594790528662,FALSE,"Nutrient inputs",0.06
