"code","n","class","description","color","llid"
"21",19,"developed","Developed, Open Space","#DDC9C9","2316"
"22",22,"developed","Developed, Low Intensity","#D89382","2316"
"23",8,"developed","Developed, Medium Intensity","#ED0000","2316"
"24",1,"developed","Developed, High Intensity","#AA0000","2316"
"41",420,"forest","Deciduous Forest","#68AA63","2316"
"42",19,"forest","Evergreen Forest","#1C6330","2316"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","2316"
"81",75,"planted","Pasture/Hay","#DBD83D","2316"
"82",159,"planted","Cultivated Crops","#AA7028","2316"
"code","n","class","description","color","llid"
"21",492,"developed","Developed, Open Space","#DDC9C9","2745"
"22",224,"developed","Developed, Low Intensity","#D89382","2745"
"23",35,"developed","Developed, Medium Intensity","#ED0000","2745"
"41",144,"forest","Deciduous Forest","#68AA63","2745"
"42",28,"forest","Evergreen Forest","#1C6330","2745"
"71",26,"herbaceous","Grassland/Herbaceous","#E2E2C1","2745"
"81",2,"planted","Pasture/Hay","#DBD83D","2745"
"82",5,"planted","Cultivated Crops","#AA7028","2745"
"95",2,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2745"
"code","n","class","description","color","llid"
"21",1134,"developed","Developed, Open Space","#DDC9C9","2057"
"22",460,"developed","Developed, Low Intensity","#D89382","2057"
"23",68,"developed","Developed, Medium Intensity","#ED0000","2057"
"24",28,"developed","Developed, High Intensity","#AA0000","2057"
"31",24,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2057"
"41",5527,"forest","Deciduous Forest","#68AA63","2057"
"42",71,"forest","Evergreen Forest","#1C6330","2057"
"52",10,"shrubland","Scrub/Shrub","#CCBA7C","2057"
"71",299,"herbaceous","Grassland/Herbaceous","#E2E2C1","2057"
"81",585,"planted","Pasture/Hay","#DBD83D","2057"
"82",346,"planted","Cultivated Crops","#AA7028","2057"
"90",1198,"wetlands","Woody Wetlands","#BAD8EA","2057"
"95",77,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2057"
"code","n","class","description","color","llid"
"21",1098,"developed","Developed, Open Space","#DDC9C9","984"
"22",1369,"developed","Developed, Low Intensity","#D89382","984"
"23",447,"developed","Developed, Medium Intensity","#ED0000","984"
"24",53,"developed","Developed, High Intensity","#AA0000","984"
"31",1,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","984"
"41",927,"forest","Deciduous Forest","#68AA63","984"
"42",8,"forest","Evergreen Forest","#1C6330","984"
"52",2,"shrubland","Scrub/Shrub","#CCBA7C","984"
"71",70,"herbaceous","Grassland/Herbaceous","#E2E2C1","984"
"81",4,"planted","Pasture/Hay","#DBD83D","984"
"82",313,"planted","Cultivated Crops","#AA7028","984"
"90",130,"wetlands","Woody Wetlands","#BAD8EA","984"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","984"
"code","n","class","description","color","llid"
"21",37,"developed","Developed, Open Space","#DDC9C9","2167"
"22",10,"developed","Developed, Low Intensity","#D89382","2167"
"41",112,"forest","Deciduous Forest","#68AA63","2167"
"42",22,"forest","Evergreen Forest","#1C6330","2167"
"81",10,"planted","Pasture/Hay","#DBD83D","2167"
"82",41,"planted","Cultivated Crops","#AA7028","2167"
"90",5,"wetlands","Woody Wetlands","#BAD8EA","2167"
"code","n","class","description","color","llid"
"21",114,"developed","Developed, Open Space","#DDC9C9","3866"
"22",8,"developed","Developed, Low Intensity","#D89382","3866"
"23",1,"developed","Developed, Medium Intensity","#ED0000","3866"
"41",1149,"forest","Deciduous Forest","#68AA63","3866"
"42",89,"forest","Evergreen Forest","#1C6330","3866"
"71",43,"herbaceous","Grassland/Herbaceous","#E2E2C1","3866"
"81",128,"planted","Pasture/Hay","#DBD83D","3866"
"82",65,"planted","Cultivated Crops","#AA7028","3866"
"90",48,"wetlands","Woody Wetlands","#BAD8EA","3866"
"95",3,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3866"
"code","n","class","description","color","llid"
"21",220,"developed","Developed, Open Space","#DDC9C9","4031"
"22",55,"developed","Developed, Low Intensity","#D89382","4031"
"23",10,"developed","Developed, Medium Intensity","#ED0000","4031"
"41",2626,"forest","Deciduous Forest","#68AA63","4031"
"42",3,"forest","Evergreen Forest","#1C6330","4031"
"71",43,"herbaceous","Grassland/Herbaceous","#E2E2C1","4031"
"81",84,"planted","Pasture/Hay","#DBD83D","4031"
"82",19,"planted","Cultivated Crops","#AA7028","4031"
"90",26,"wetlands","Woody Wetlands","#BAD8EA","4031"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4031"
"code","n","class","description","color","llid"
"21",94,"developed","Developed, Open Space","#DDC9C9","1500"
"22",20,"developed","Developed, Low Intensity","#D89382","1500"
"23",12,"developed","Developed, Medium Intensity","#ED0000","1500"
"41",824,"forest","Deciduous Forest","#68AA63","1500"
"42",18,"forest","Evergreen Forest","#1C6330","1500"
"52",6,"shrubland","Scrub/Shrub","#CCBA7C","1500"
"81",52,"planted","Pasture/Hay","#DBD83D","1500"
"82",149,"planted","Cultivated Crops","#AA7028","1500"
"90",33,"wetlands","Woody Wetlands","#BAD8EA","1500"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1500"
"code","n","class","description","color","llid"
"21",207,"developed","Developed, Open Space","#DDC9C9","3423"
"22",64,"developed","Developed, Low Intensity","#D89382","3423"
"23",35,"developed","Developed, Medium Intensity","#ED0000","3423"
"24",13,"developed","Developed, High Intensity","#AA0000","3423"
"31",19,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3423"
"41",3165,"forest","Deciduous Forest","#68AA63","3423"
"42",19,"forest","Evergreen Forest","#1C6330","3423"
"43",21,"forest","Mixed Forest","#B5C98E","3423"
"52",40,"shrubland","Scrub/Shrub","#CCBA7C","3423"
"71",54,"herbaceous","Grassland/Herbaceous","#E2E2C1","3423"
"81",241,"planted","Pasture/Hay","#DBD83D","3423"
"82",1,"planted","Cultivated Crops","#AA7028","3423"
"90",3,"wetlands","Woody Wetlands","#BAD8EA","3423"
"95",61,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3423"
"code","n","class","description","color","llid"
"21",22,"developed","Developed, Open Space","#DDC9C9","3386"
"22",13,"developed","Developed, Low Intensity","#D89382","3386"
"41",2420,"forest","Deciduous Forest","#68AA63","3386"
"42",7,"forest","Evergreen Forest","#1C6330","3386"
"52",29,"shrubland","Scrub/Shrub","#CCBA7C","3386"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","3386"
"81",18,"planted","Pasture/Hay","#DBD83D","3386"
"82",82,"planted","Cultivated Crops","#AA7028","3386"
"code","n","class","description","color","llid"
"21",110,"developed","Developed, Open Space","#DDC9C9","2861"
"22",59,"developed","Developed, Low Intensity","#D89382","2861"
"23",20,"developed","Developed, Medium Intensity","#ED0000","2861"
"24",15,"developed","Developed, High Intensity","#AA0000","2861"
"41",1477,"forest","Deciduous Forest","#68AA63","2861"
"43",76,"forest","Mixed Forest","#B5C98E","2861"
"71",167,"herbaceous","Grassland/Herbaceous","#E2E2C1","2861"
"81",43,"planted","Pasture/Hay","#DBD83D","2861"
"82",137,"planted","Cultivated Crops","#AA7028","2861"
"code","n","class","description","color","llid"
"21",970,"developed","Developed, Open Space","#DDC9C9","3007"
"22",440,"developed","Developed, Low Intensity","#D89382","3007"
"23",171,"developed","Developed, Medium Intensity","#ED0000","3007"
"24",25,"developed","Developed, High Intensity","#AA0000","3007"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3007"
"41",3140,"forest","Deciduous Forest","#68AA63","3007"
"42",20,"forest","Evergreen Forest","#1C6330","3007"
"71",71,"herbaceous","Grassland/Herbaceous","#E2E2C1","3007"
"81",233,"planted","Pasture/Hay","#DBD83D","3007"
"82",128,"planted","Cultivated Crops","#AA7028","3007"
"90",38,"wetlands","Woody Wetlands","#BAD8EA","3007"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3007"
"code","n","class","description","color","llid"
"21",338,"developed","Developed, Open Space","#DDC9C9","2226"
