"code","n","class","description","color","llid"
"21",486,"developed","Developed, Open Space","#DDC9C9","2316"
"22",290,"developed","Developed, Low Intensity","#D89382","2316"
"23",52,"developed","Developed, Medium Intensity","#ED0000","2316"
"24",10,"developed","Developed, High Intensity","#AA0000","2316"
"41",3835,"forest","Deciduous Forest","#68AA63","2316"
"42",48,"forest","Evergreen Forest","#1C6330","2316"
"43",5,"forest","Mixed Forest","#B5C98E","2316"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","2316"
"71",329,"herbaceous","Grassland/Herbaceous","#E2E2C1","2316"
"81",2650,"planted","Pasture/Hay","#DBD83D","2316"
"82",2703,"planted","Cultivated Crops","#AA7028","2316"
"90",527,"wetlands","Woody Wetlands","#BAD8EA","2316"
"95",80,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2316"
"code","n","class","description","color","llid"
"21",304,"developed","Developed, Open Space","#DDC9C9","2745"
"22",52,"developed","Developed, Low Intensity","#D89382","2745"
"23",9,"developed","Developed, Medium Intensity","#ED0000","2745"
"41",902,"forest","Deciduous Forest","#68AA63","2745"
"42",5,"forest","Evergreen Forest","#1C6330","2745"
"71",26,"herbaceous","Grassland/Herbaceous","#E2E2C1","2745"
"81",748,"planted","Pasture/Hay","#DBD83D","2745"
"82",744,"planted","Cultivated Crops","#AA7028","2745"
"90",10,"wetlands","Woody Wetlands","#BAD8EA","2745"
"code","n","class","description","color","llid"
"21",9444,"developed","Developed, Open Space","#DDC9C9","2057"
"22",2849,"developed","Developed, Low Intensity","#D89382","2057"
"23",629,"developed","Developed, Medium Intensity","#ED0000","2057"
"24",182,"developed","Developed, High Intensity","#AA0000","2057"
"31",64,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2057"
"41",43388,"forest","Deciduous Forest","#68AA63","2057"
"42",482,"forest","Evergreen Forest","#1C6330","2057"
"43",27,"forest","Mixed Forest","#B5C98E","2057"
"52",155,"shrubland","Scrub/Shrub","#CCBA7C","2057"
"71",2276,"herbaceous","Grassland/Herbaceous","#E2E2C1","2057"
"81",20095,"planted","Pasture/Hay","#DBD83D","2057"
"82",20941,"planted","Cultivated Crops","#AA7028","2057"
"90",4857,"wetlands","Woody Wetlands","#BAD8EA","2057"
"95",219,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2057"
"code","n","class","description","color","llid"
"21",1075,"developed","Developed, Open Space","#DDC9C9","984"
"22",407,"developed","Developed, Low Intensity","#D89382","984"
"23",104,"developed","Developed, Medium Intensity","#ED0000","984"
"24",15,"developed","Developed, High Intensity","#AA0000","984"
"41",4447,"forest","Deciduous Forest","#68AA63","984"
"42",28,"forest","Evergreen Forest","#1C6330","984"
"52",53,"shrubland","Scrub/Shrub","#CCBA7C","984"
"71",73,"herbaceous","Grassland/Herbaceous","#E2E2C1","984"
"81",1900,"planted","Pasture/Hay","#DBD83D","984"
"82",10632,"planted","Cultivated Crops","#AA7028","984"
"90",63,"wetlands","Woody Wetlands","#BAD8EA","984"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"2167"
"code","n","class","description","color","llid"
"21",7116,"developed","Developed, Open Space","#DDC9C9","3866"
"22",1694,"developed","Developed, Low Intensity","#D89382","3866"
"23",372,"developed","Developed, Medium Intensity","#ED0000","3866"
"24",101,"developed","Developed, High Intensity","#AA0000","3866"
"31",22,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3866"
"41",46183,"forest","Deciduous Forest","#68AA63","3866"
"42",1120,"forest","Evergreen Forest","#1C6330","3866"
"43",25,"forest","Mixed Forest","#B5C98E","3866"
"52",34,"shrubland","Scrub/Shrub","#CCBA7C","3866"
"71",842,"herbaceous","Grassland/Herbaceous","#E2E2C1","3866"
"81",11414,"planted","Pasture/Hay","#DBD83D","3866"
"82",23478,"planted","Cultivated Crops","#AA7028","3866"
"90",585,"wetlands","Woody Wetlands","#BAD8EA","3866"
"95",16,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3866"
"code","n","class","description","color","llid"
"0",4541630,NA,NA,NA,"4031"
"21",27324,"developed","Developed, Open Space","#DDC9C9","4031"
"22",8391,"developed","Developed, Low Intensity","#D89382","4031"
"23",2420,"developed","Developed, Medium Intensity","#ED0000","4031"
"24",714,"developed","Developed, High Intensity","#AA0000","4031"
"31",263,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","4031"
"41",156282,"forest","Deciduous Forest","#68AA63","4031"
"42",1661,"forest","Evergreen Forest","#1C6330","4031"
"43",8,"forest","Mixed Forest","#B5C98E","4031"
"52",1077,"shrubland","Scrub/Shrub","#CCBA7C","4031"
"71",3979,"herbaceous","Grassland/Herbaceous","#E2E2C1","4031"
"81",61138,"planted","Pasture/Hay","#DBD83D","4031"
"82",126612,"planted","Cultivated Crops","#AA7028","4031"
"90",2873,"wetlands","Woody Wetlands","#BAD8EA","4031"
"95",108,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4031"
"code","n","class","description","color","llid"
"21",749,"developed","Developed, Open Space","#DDC9C9","1500"
"22",75,"developed","Developed, Low Intensity","#D89382","1500"
"23",9,"developed","Developed, Medium Intensity","#ED0000","1500"
"41",4443,"forest","Deciduous Forest","#68AA63","1500"
"42",50,"forest","Evergreen Forest","#1C6330","1500"
"52",12,"shrubland","Scrub/Shrub","#CCBA7C","1500"
